axis,group,source_support,accepted_support,coverage,conditional_risk,selective_risk_identified
country_class,ARG|electric_substation,3,2,0.6666666666666666,1.0,True
country_class,ARG|factory_or_powerplant,1,1,1.0,1.0,True
country_class,ARG|flooded_road,1,1,1.0,1.0,True
country_class,ARG|ground_transportation_station,1,1,1.0,1.0,True
country_class,ARG|hospital,1,1,1.0,1.0,True
country_class,ARG|interchange,1,1,1.0,1.0,True
country_class,ARG|lighthouse,3,1,0.3333333333333333,1.0,True
country_class,ARG|park,2,2,1.0,1.0,True
country_class,ARG|parking_lot_or_garage,3,3,1.0,1.0,True
country_class,ARG|place_of_worship,1,1,1.0,1.0,True
country_class,ARG|recreational_facility,2,2,1.0,1.0,True
country_class,ARG|runway,1,1,1.0,0.0,True
country_class,ARG|shipyard,1,1,1.0,1.0,True
country_class,ARG|stadium,18,15,0.8333333333333334,1.0,True
country_class,ARG|surface_mine,1,1,1.0,0.0,True
country_class,ARG|toll_booth,16,11,0.6875,0.8181818181818182,True
country_class,ARG|waste_disposal,1,1,1.0,1.0,True
country_class,ATG|car_dealership,7,6,0.8571428571428571,1.0,True
country_class,AUS|airport_terminal,2,2,1.0,1.0,True
country_class,AUS|amusement_park,1,1,1.0,0.0,True
country_class,AUS|archaeological_site,1,0,0.0,,False
country_class,AUS|barn,3,3,1.0,1.0,True
country_class,AUS|burial_site,1,1,1.0,1.0,True
country_class,AUS|construction_site,1,1,1.0,1.0,True
country_class,AUS|flooded_road,3,3,1.0,1.0,True
country_class,AUS|golf_course,2,1,0.5,1.0,True
country_class,AUS|helipad,1,1,1.0,1.0,True
country_class,AUS|hospital,1,1,1.0,1.0,True
country_class,AUS|park,2,2,1.0,1.0,True
country_class,AUS|port,1,1,1.0,0.0,True
country_class,AUS|race_track,1,0,0.0,,False
country_class,AUS|shopping_mall,2,2,1.0,1.0,True
country_class,AUS|single-unit_residential,2,2,1.0,1.0,True
country_class,AUS|storage_tank,9,8,0.8888888888888888,1.0,True
country_class,AUS|surface_mine,1,1,1.0,0.0,True
country_class,AUS|toll_booth,1,1,1.0,1.0,True
country_class,AUS|tower,1,1,1.0,1.0,True
country_class,AUS|wind_farm,2,2,1.0,1.0,True
country_class,AUT|airport_hangar,2,2,1.0,1.0,True
country_class,AUT|airport_terminal,1,0,0.0,,False
country_class,AUT|archaeological_site,2,2,1.0,1.0,True
country_class,AUT|barn,1,0,0.0,,False
country_class,AUT|crop_field,1,1,1.0,1.0,True
country_class,AUT|prison,1,1,1.0,1.0,True
country_class,AUT|railway_bridge,1,1,1.0,1.0,True
country_class,AUT|recreational_facility,1,1,1.0,1.0,True
country_class,AUT|surface_mine,1,1,1.0,1.0,True
country_class,AUT|zoo,1,1,1.0,1.0,True
country_class,AZE|electric_substation,1,0,0.0,,False
country_class,BEL|car_dealership,2,2,1.0,1.0,True
country_class,BEL|dam,1,1,1.0,1.0,True
country_class,BEL|fire_station,2,2,1.0,1.0,True
country_class,BEL|ground_transportation_station,4,4,1.0,1.0,True
country_class,BEL|interchange,1,1,1.0,1.0,True
country_class,BEL|office_building,3,3,1.0,1.0,True
country_class,BEL|parking_lot_or_garage,1,1,1.0,1.0,True
country_class,BEL|place_of_worship,1,0,0.0,,False
country_class,BEL|police_station,1,1,1.0,1.0,True
country_class,BEL|recreational_facility,1,0,0.0,,False
