axis,group,risk,support,cluster_support,selected_tail_mass,protocol_hash
country_class,GBR|waste_disposal,0.9,30,4,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
country_class,GBR|water_treatment_facility,0.8378378378378378,37,6,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
country_class,GIN|tower,0.9166666666666666,24,2,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
country_class,HND|wind_farm,0.9393939393939394,33,3,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
country_class,IND|wind_farm,0.6883116883116883,77,10,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
country_class,IRQ|tower,0.75,20,2,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
country_class,ITA|debris_or_rubble,0.696969696969697,33,3,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
country_class,JPN|toll_booth,0.95,20,2,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
country_class,KOR|tunnel_opening,0.48148148148148145,27,3,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
country_class,LBY|single-unit_residential,0.7083333333333334,48,9,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
country_class,MNG|border_checkpoint,0.9545454545454546,22,2,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
country_class,NLD|storage_tank,0.8571428571428571,42,7,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
country_class,NPL|barn,1.0,20,2,0.03225806451612903,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
country_class,PHL|aquaculture,0.2826086956521739,46,5,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
country_class,RUS|smokestack,0.7142857142857143,28,3,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
country_class,RUS|storage_tank,0.9298245614035088,57,5,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
country_class,SOM|multi-unit_residential,0.32,25,2,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
country_class,SVK|burial_site,1.0,20,2,0.03225806451612903,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
country_class,SVN|interchange,0.8695652173913043,23,2,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
country_class,TUN|archaeological_site,1.0,27,2,0.03225806451612903,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
country_class,TUR|surface_mine,0.5555555555555556,27,3,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
country_class,TZA|single-unit_residential,0.71875,64,12,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
country_class,USA|space_facility,0.02702702702702703,37,3,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
country_class,ZWE|road_bridge,0.4782608695652174,23,2,0.0,f51e772730ce48a8a203e9768112419e396e96a7fd88bb299342896456a31a16
